coral_id,Block,Treatment,Crab,Nutrients,Circumference_cm,Coral_vol,TRBI_abundance,Alpheidae,Cerithiidae,Dialidae,Galatheidae,Gobiidae,Hermit,Labridae,Muricidae,Palaemonidae,Peracarid,Pomacentridae,Trapeziidae,Triphoridae,Trochidae,Worm,Amphipod,Columbellidae,Personidae,Aristeidae,Asterinidae,Brittle,Echinometridae,Hippolytidae,Leucosiidae,Limpet,Mitridae,Rissoinidae,Xanthidae,Cystiscidae,Mangeliidae,Cypraeidae,Eulimidae,Haminoeidae,Costellariidae,Zebinidae,Bivalve,Disciadidae,Portunidae,Bullidae,Tetraliidae,Lironobidae,Mitromorphidae,Pilumnidae,Planaxidae,Stenopodidae,Raphitomidae,Spongicolidae,Cingulopsidae,Pyramidellidae,Rissoidae,Prodotiidae,Buccinidae,Cryptochiridae,Chilodontaidae,Epialtidae,Megalopidae,Cirrhitidae
31,8,Nutrient,N,Y,63,4054.748918233226,0,12,1,3,0,4,22,0,40,35,0,10,5,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
32,8,Control,N,N,55,3049.4392690844925,0,8,3,6,3,2,30,0,1,6,4,2,3,0,1,3,2,2,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,4,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,9,Crab,Y,N,75,5629.734035232909,0,27,1,4,9,5,49,0,49,104,1,4,10,0,5,3,20,2,0,0,0,1,5,0,0,0,0,26,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,9,Nutrient,N,Y,60,2580.294766148417,0,6,1,22,34,4,39,0,9,9,0,2,4,0,0,10,2,4,0,0,0,1,0,0,0,2,0,4,1,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,9,Control,N,N,64,3635.869897754587,0,10,2,13,7,4,30,0,29,34,3,0,6,0,1,6,3,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,2,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,9,Both,Y,Y,64,4607.669225265029,0,2,0,1,2,4,31,0,12,12,1,6,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,10,Both,Y,Y,70,3958.406743523139,3,7,1,8,10,11,35,0,17,57,1,0,13,0,2,10,1,4,0,0,0,2,0,0,0,0,2,12,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
38,10,Control,N,N,65,4071.5040790523713,0,3,1,5,0,5,9,0,34,39,0,11,3,0,1,13,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
39,10,Nutrient,N,Y,62,2990.796206217483,0,4,0,9,0,7,52,0,10,31,2,16,6,0,0,7,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,10,Crab,Y,N,60,4655.840312620073,0,27,0,6,3,3,28,0,14,6,1,2,4,0,0,4,2,2,0,0,0,1,0,0,0,0,0,5,2,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
